employment,education,married,person_living_in_house,salary,house_rental_fee,house_loan_pmt,transport_use,transport_spending,public_transport_spending,house_utility,food_spending,kids_spending,personal_loan,education_loan,other_loan,investment,age_class,house_type_Own,house_type_Parent,house_type_Rental,house_type_Rental house - kampung / wooden house,gender_F,gender_M,vehicle_Import,vehicle_Local,vehicle_Motorcycle,vehicle_no_vehicle,race_Kree,race_Others,race_Sapiens,race_Skrull
0,0,2,3,0,0.0,0.0,own,200.0,0.0,150.0,700.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1
5,0,2,3,0,0.0,0.0,own,100.0,0.0,50.0,300.0,50.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0
5,0,2,4,0,0.0,0.0,own,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
5,3,2,3,1,0.0,0.0,own,1000.0,0.0,100.0,2000.0,0.0,700.0,0.0,1500.0,0.0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,2,10 or more,0,0.0,0.0,own,170.0,0.0,50.0,300.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0
3,0,2,2,0,0.0,0.0,own,50.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5,2,2,5,0,0.0,0.0,own,300.0,0.0,300.0,300.0,100.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
5,3,0,1,0,165.0,0.0,Public,0.0,100.0,100.0,300.0,0.0,0.0,18000.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
0,0,2,10 or more,0,0.0,0.0,own,0.0,0.0,230.0,1000.0,500.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1
5,0,2,6,0,0.0,0.0,own,0.0,0.0,300.0,2000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2,0,0,5,0,0.0,0.0,own,300.0,0.0,200.0,600.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
5,2,2,5,1,0.0,1800.0,own,1000.0,0.0,500.0,600.0,300.0,1000.0,0.0,0.0,0.0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1
5,0,0,4,0,0.0,0.0,Public,0.0,100.0,200.0,300.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,3,2,2,0,2500.0,0.0,own,600.0,0.0,300.0,300.0,0.0,0.0,350.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,2,1,0,0.0,0.0,Public,0.0,50.0,80.0,200.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,2,2,0,0.0,0.0,own,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0
5,1,2,5,0,0.0,800.0,own,200.0,0.0,500.0,400.0,300.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
5,3,2,8,0,0.0,0.0,own,900.0,0.0,300.0,600.0,800.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,2,3,0,0.0,0.0,own,30.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0
4,1,2,2,0,0.0,0.0,own,300.0,0.0,150.0,300.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0
5,1,0,1,0,300.0,0.0,own,200.0,0.0,150.0,300.0,0.0,0.0,200.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
2,0,2,3,0,0.0,150.0,own,500.0,0.0,100.0,300.0,75.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0
5,3,0,6,0,0.0,1300.0,own,100.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
5,0,2,2,1,1000.0,0.0,Public,800.0,0.0,0.0,1000.0,800.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
5,3,0,4,0,0.0,0.0,own,0.0,300.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,2,3,0,0.0,0.0,own,0.0,0.0,500.0,2000.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1
5,3,2,5,1,700.0,0.0,own,1500.0,0.0,300.0,200.0,500.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0
4,0,2,3,0,0.0,0.0,own,200.0,0.0,500.0,600.0,400.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0
5,0,2,4,0,0.0,0.0,own,250.0,0.0,0.0,500.0,100.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0
5,3,0,1,0,650.0,0.0,own,600.0,0.0,200.0,600.0,0.0,600.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
5,2,2,5,1,0.0,0.0,own,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0
5,3,0,1,1,400.0,0.0,own,200.0,0.0,100.0,600.0,0.0,900.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,2,5,0,0.0,0.0,own,100.0,0.0,400.0,500.0,60.0,0.0,0.0,0.0,0.0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0
5,0,2,5,0,0.0,0.0,own,1400.0,0.0,100.0,600.0,150.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,2,2,0,0.0,0.0,own,40.0,0.0,130.0,1300.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,2,6,0,0.0,0.0,own,300.0,0.0,30.0,1000.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,2,2,4,0,0.0,0.0,own,300.0,0.0,100.0,600.0,400.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,2,1,0,0.0,0.0,own,0.0,0.0,60.0,300.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5,2,0,1,0,600.0,0.0,own,40.0,0.0,50.0,300.0,0.0,0.0,170.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
2,3,2,6,1,0.0,0.0,own,4000.0,0.0,1000.0,1000.0,2000.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0
5,3,0,3,0,0.0,0.0,own,0.0,0.0,150.0,700.0,0.0,0.0,48000.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,2,6,0,0.0,0.0,own,200.0,0.0,60.0,300.0,100.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1,1,0,0.0,0.0,own,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5,0,0,3,0,0.0,0.0,own,50.0,0.0,200.0,600.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5,0,0,6,0,500.0,0.0,own,150.0,0.0,150.0,500.0,200.0,0.0,0.0,150.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
5,1,0,3,0,0.0,0.0,own,150.0,0.0,150.0,200.0,100.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
5,0,0,5,0,0.0,0.0,own,1800.0,0.0,250.0,1000.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
5,0,0,3,0,500.0,0.0,own,2000.0,0.0,300.0,1000.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0
5,0,2,5,0,0.0,900.0,own,400.0,0.0,500.0,1500.0,800.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1
2,0,2,7,0,0.0,0.0,own,150.0,0.0,1000.0,0.0,500.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1
0,2,2,3,0,0.0,0.0,own,0.0,0.0,400.0,600.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2,3,0,1,0,0.0,0.0,own,300.0,0.0,200.0,700.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0,0,2,2,0,0.0,0.0,own,50.0,0.0,150.0,300.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0
5,3,2,2,1,0.0,820.0,own,1500.0,0.0,350.0,1000.0,800.0,973.0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0
5,0,0,4,0,0.0,500.0,own,500.0,0.0,0.0,500.0,0.0,0.0,0.0,1000.0,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,2,6,0,0.0,0.0,own,200.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0
5,3,0,4,0,0.0,0.0,own,800.0,0.0,150.0,500.0,0.0,900.0,300.0,700.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2,0,2,5,0,0.0,0.0,own,0.0,0.0,150.0,300.0,300.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,4,0,0.0,0.0,own,30.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
4,1,2,2,0,0.0,500.0,own,150.0,0.0,300.0,700.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0
5,2,0,3,0,0.0,0.0,own,0.0,0.0,400.0,1500.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
5,0,0,10 or more,0,0.0,0.0,own,200.0,0.0,20.0,200.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
5,0,2,5,0,0.0,0.0,own,800.0,0.0,150.0,700.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2,0,2,2,0,0.0,100.0,own,100.0,0.0,150.0,100.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2,1,2,4,1,0.0,1000.0,own,1400.0,0.0,200.0,2800.0,1500.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,2,2,0,0.0,0.0,own,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,2,7,0,0.0,0.0,Public,0.0,100.0,50.0,400.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5,2,0,2,0,0.0,0.0,own,500.0,0.0,200.0,250.0,0.0,200.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,2,2,0,0.0,0.0,own,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,2,3,0,0.0,0.0,own,150.0,0.0,50.0,200.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0
5,3,0,1,0,500.0,0.0,own,800.0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
3,0,2,4,0,0.0,0.0,own,50.0,0.0,50.0,300.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0
5,0,2,9,0,0.0,0.0,own,200.0,0.0,150.0,800.0,300.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0
5,3,0,1,0,0.0,0.0,own,500.0,0.0,250.0,1000.0,0.0,0.0,0.0,195.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
3,0,2,4,0,0.0,0.0,own,30.0,0.0,70.0,200.0,60.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2,0,2,2,0,45.0,0.0,Public,0.0,50.0,60.0,300.0,100.0,0.0,0.0,0.0,0.0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,1
2,0,0,1,0,0.0,0.0,own,100.0,0.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
5,0,2,5,1,0.0,600.0,own,2500.0,0.0,100.0,500.0,500.0,250.0,0.0,0.0,600.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,3,0,0.0,0.0,own,90.0,0.0,100.0,400.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5,0,0,5,0,0.0,0.0,own,900.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
5,2,0,3,0,0.0,0.0,own,800.0,0.0,130.0,350.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
0,0,2,5,0,0.0,0.0,own,500.0,0.0,150.0,900.0,240.0,300.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,2,0,5,0,0.0,0.0,own,0.0,0.0,200.0,300.0,200.0,0.0,163.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,0,2,3,0,0.0,0.0,own,600.0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2,0,2,2,0,0.0,0.0,own,300.0,0.0,400.0,600.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0
5,0,1,2,0,0.0,0.0,Public,0.0,10.0,200.0,150.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,0,2,1,0,0.0,0.0,own,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5,0,2,9,0,0.0,0.0,own,1000.0,0.0,500.0,1000.0,200.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1
2,0,2,3,0,0.0,0.0,own,100.0,0.0,80.0,200.0,250.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,0,2,5,0,0.0,0.0,own,0.0,0.0,200.0,500.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,2,0,0.0,125.0,Public,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,2,2,0,0.0,0.0,own,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,2,1,0,0.0,1400.0,own,200.0,0.0,300.0,1000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,2,3,0,0.0,200.0,own,0.0,0.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0
5,0,0,4,0,0.0,0.0,own,400.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
5,0,2,4,0,0.0,900.0,own,50.0,0.0,100.0,1000.0,144.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5,3,2,3,1,0.0,1800.0,own,250.0,0.0,100.0,400.0,400.0,800.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
5,0,2,3,0,0.0,1000.0,own,200.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0
5,0,2,8,0,450.0,0.0,own,250.0,0.0,170.0,400.0,200.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
5,0,2,5,0,0.0,400.0,own,700.0,0.0,300.0,400.0,100.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1
4,0,2,3,0,0.0,0.0,own,100.0,0.0,200.0,300.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,1
5,2,0,4,0,0.0,0.0,own,0.0,0.0,500.0,300.0,300.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,0,2,7,0,0.0,0.0,own,50.0,0.0,50.0,400.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0
3,0,2,7,0,0.0,0.0,own,0.0,0.0,0.0,1000.0,400.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2,0,0,5,0,0.0,0.0,own,300.0,0.0,200.0,600.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
5,0,2,3,0,0.0,300.0,own,0.0,0.0,350.0,1000.0,200.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0
3,0,2,2,0,0.0,0.0,own,150.0,0.0,50.0,300.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,1,1,0,0,0,1,0,0,0
5,0,2,6,0,0.0,0.0,own,0.0,0.0,500.0,3000.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5,3,2,3,0,100.0,0.0,own,400.0,0.0,700.0,500.0,700.0,1100.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,2,2,0,0.0,400.0,Public,0.0,100.0,250.0,300.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,2,6,0,0.0,0.0,Public,0.0,50.0,550.0,300.0,200.0,0.0,0.0,0.0,0.0,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0
0,0,2,3,0,800.0,0.0,own,0.0,0.0,1000.0,1500.0,150.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5,0,2,4,0,0.0,0.0,own,1000.0,0.0,300.0,600.0,300.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0
5,0,2,7,0,0.0,0.0,own,100.0,0.0,50.0,700.0,600.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0
5,0,2,6,0,0.0,0.0,own,0.0,0.0,150.0,1200.0,800.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,2,3,0,0.0,0.0,own,600.0,0.0,250.0,300.0,600.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,3,0,0.0,0.0,own,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,100.0,0.0,own,20.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,2,3,0,0.0,0.0,own,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5,0,2,5,0,0.0,0.0,own,1500.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
0,1,2,3,0,0.0,600.0,own,250.0,0.0,350.0,400.0,500.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,2,5,0,0.0,0.0,own,400.0,0.0,200.0,350.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
5,1,2,2,0,0.0,603.0,own,400.0,0.0,900.0,400.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,2,7,0,0.0,0.0,own,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5,0,2,5,1,0.0,0.0,own,600.0,0.0,300.0,500.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,2,6,0,0.0,0.0,own,50.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0
2,0,2,3,0,0.0,0.0,own,150.0,0.0,100.0,250.0,50.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0
5,0,0,1,0,600.0,0.0,own,1000.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,1,2,4,0,0.0,0.0,own,0.0,0.0,0.0,2500.0,1000.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0
5,0,2,3,0,0.0,500.0,Public,0.0,40.0,2000.0,400.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2,0,1,2,0,0.0,0.0,own,300.0,0.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,3,0,1,0,0.0,0.0,own,0.0,0.0,100.0,400.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
4,0,2,3,0,0.0,333.0,own,24.0,0.0,500.0,700.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,0,0,1,0,0,1,0,0,0,0,1
5,3,0,2,0,0.0,0.0,Public,0.0,100.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,2,3,0,150.0,0.0,own,50.0,0.0,60.0,600.0,150.0,0.0,0.0,0.0,0.0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1
5,3,2,6,1,0.0,2000.0,own,1100.0,0.0,500.0,800.0,700.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,2,4,0,0.0,0.0,own,200.0,0.0,300.0,400.0,100.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5,0,0,1,0,400.0,0.0,own,200.0,0.0,600.0,400.0,200.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
5,2,0,1,0,0.0,0.0,own,0.0,0.0,0.0,400.0,400.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
1,0,2,2,0,124.0,0.0,Public,0.0,300.0,160.0,100.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,0,1,0,0,0,0,1,1,0,0,0
3,0,2,2,0,0.0,500.0,own,0.0,0.0,150.0,500.0,0.0,600.0,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0
5,2,2,3,0,600.0,0.0,own,600.0,0.0,100.0,800.0,400.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
5,2,2,3,1,0.0,0.0,own,500.0,0.0,400.0,500.0,500.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
5,3,0,6,0,0.0,0.0,Public,0.0,1000.0,600.0,600.0,0.0,0.0,200.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
5,3,0,4,0,1000.0,0.0,own,1000.0,0.0,400.0,900.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,2,4,0,0.0,0.0,own,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,2,4,0,0.0,0.0,own,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0
5,3,0,1,0,600.0,0.0,own,50.0,0.0,94.0,600.0,0.0,0.0,165.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,2,5,0,0.0,400.0,own,100.0,0.0,200.0,300.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1
5,0,2,1,0,400.0,0.0,own,300.0,0.0,50.0,600.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,0,2,5,0,300.0,0.0,own,0.0,0.0,200.0,400.0,300.0,300.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1
5,3,2,2,1,400.0,0.0,own,900.0,0.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,2,3,0,0.0,0.0,own,200.0,0.0,200.0,400.0,300.0,0.0,0.0,0.0,210.0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
0,0,2,5,0,0.0,200.0,own,300.0,0.0,200.0,300.0,300.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5,3,2,9,1,0.0,0.0,own,1000.0,0.0,700.0,3000.0,1000.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,3,2,4,0,100.0,0.0,own,700.0,0.0,50.0,200.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,2,3,0,0.0,0.0,own,0.0,52.0,100.0,250.0,200.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0
5,2,2,4,0,0.0,0.0,own,350.0,0.0,500.0,1000.0,2000.0,0.0,0.0,300.0,0.0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0
5,0,2,2,0,0.0,600.0,own,650.0,0.0,200.0,400.0,0.0,1000.0,0.0,500.0,0.0,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0
